,Title,Published_date,Views,Likes,Favourites
53,Dealing With Mindsets That Make Success Difficult || Pst Bolaji Idowu || 12th March 2023,2023-03-12T12:31:04Z,8032,164,0
54,Dealing With Mindsets That Make Success Difficult || Pst Bolaji Idowu || 12th March 2023,2023-03-12T10:18:06Z,9630,231,0
55,Turning Point Service:  Prayer For Resources || Pst Bolaji Idowu || 12th March 2023,2023-03-12T08:17:12Z,10167,285,0
56,Highlife Praise Medley With Exalted Tribe At Harvesters,2023-03-10T23:00:14Z,1770,77,0
57,What You Focus On Grows. Watch This Session of Emotional Healing With Pastor Bolaji Idowu,2023-03-10T17:03:13Z,1780,114,0
58,NLP Ibadan,2023-03-10T15:25:31Z,953,42,0
59,Prayers For Favour And intervention || Pst Bolaji || March 10th 2023,2023-03-10T07:19:55Z,33753,945,0
60,Tobechukwu Medley With IBK Sings and Exalted Tribe At Harvesters,2023-03-09T16:00:22Z,7748,195,0
61,Stop Blaming People; Accept Responsibility For You Life | Pastor Bolaji Idowu,2023-03-09T11:00:41Z,1593,90,0
62,"Prayers For Mercy, Favour And Direction || Pst Bolaji || March 9th 2023",2023-03-09T07:12:40Z,30147,863,0
63,Mid - Week Service: Breaking The Patterns Of Stagnation ||  Pst Gbenga Ajibola || 8th March 2023,2023-03-08T20:06:33Z,7882,264,0
64,"Prayers For Progress, Ease And Supernatural Help || Pst Bolaji || March 8th 2023",2023-03-08T07:14:26Z,28616,860,0
65,Dealing With Relationship Exhaustion & Frustration Sermon Only Pst Bolaji Idowu 5th March 2023,2023-03-07T08:18:47Z,6369,221,0
66,Prayers For Divine Favour And Help For Project completion || Pst Bolaji || March 7th 2023,2023-03-07T07:14:19Z,28349,933,0
67,Breaking Patterns Of Stagnation (Sermon Only) Pst Bolaji Idowu 5th March 2023,2023-03-06T19:43:00Z,2941,99,0
68,Prayers For Speedy Completion And Divine Help || Pst Bolaji || March 6th 2023,2023-03-06T07:04:42Z,26951,896,0
69,Dealing With Relationship Exhaustion & Frustration || Pst Bolaji Idowu|| March 5th 2023,2023-03-05T14:17:24Z,11939,285,0
70,Breaking Patterns Of Stagnation || Pst Bolaji Idowu|| March 5th 2023,2023-03-05T11:34:38Z,6958,180,0
71,Breaking Patterns Of Stagnation || Pst Bolaji Idowu|| March 5th 2023,2023-03-05T09:55:42Z,8444,194,0
72,Turning Point Service: Prayer For Resources || Pst Bolaji Idowu || 5th March 2023,2023-03-05T08:37:07Z,10430,329,0
73,Mid Day Prayer:I have Clarity Prayers And Fasting,2023-03-03T12:32:13Z,2939,224,0
74,Next Level Prayers || I Receive The Resources I Need ||| March 3rd 2023,2023-03-03T07:03:20Z,24204,903,0
75,Mid Day Prayer: Day 2: I Connect My Career And Business With The flow Of Grace !,2023-03-02T12:26:48Z,3148,182,0
76,Don't Focus On Your Frustration | Pastor Bolaji Idowu,2023-03-02T11:00:15Z,1729,101,0
77,"Prayers for Unstoppable Success, Opend Doors & Wisdom Pst Bolaji Idowu & Peterson Okopi | March 2nd",2023-03-02T07:27:48Z,34654,1249,0
78,Mid Week Service || Pst Kanmi Elegbede || March 1st 2023,2023-03-01T20:01:35Z,6403,165,0
79,"Mid Day Prayer: Father , Show Me Deep Secrets And Solutions !",2023-03-01T13:44:12Z,2861,173,0
80,The 3 Voices That Keep You From Destruction | Pastor Bolaji Idowu,2023-03-01T11:25:10Z,2132,137,0
81,"Prayers For Divine Provisions, Direction And Acceleration || Pst Bolaji Idowu || March 1st 2023",2023-03-01T07:18:21Z,44501,1116,0
82,"Prayers for Divine Progress, Protection and Opportunities || Pst Bolaji Idowu || Feb 28th 2023",2023-02-28T07:55:12Z,19263,734,0
83,Prayers For The Release Of Resources || Pst Bolaji Idowu || Feb 27th 2023,2023-02-27T07:16:50Z,28189,737,0
84,Dealing With Relationship Exhaustion & Frustration (Sermon Only) || Pst Bolaji Idowu | Feb 26th 2023,2023-02-26T16:05:05Z,8741,316,0
85,Dealing With Relationship Exhaustion & Frustration || Pst Bolaji Idowu | Feb 26th 2023,2023-02-26T14:09:25Z,8720,277,0
86,Living Without Regrets (Sermon Only) || Pst Bolaji Idowu || Feb 26th 2023,2023-02-26T13:50:35Z,2539,91,0
87,Living Without Regrets || Pst Bolaji Idowu || Feb 26th 2023,2023-02-26T10:09:50Z,7841,229,0
88,Turning Point Service: Prayers For Resources || Pst Bolaji Idowu || Feb 26th 2023,2023-02-26T08:19:51Z,8128,254,0
89,"Prayers For Redemption, Grace And Favour || Pst Bolaji Idowu || Feb 24th 2023",2023-02-24T07:42:53Z,24660,615,0
90,Say This Prayer For Nigeria | Pastor Bolaji Idowu,2023-02-23T18:20:18Z,1673,69,0
91,"Prayer For Gods intervention in Career, Business And Finance || Pst Bolaji Idowu || Feb 23rd 2023",2023-02-23T07:28:48Z,23539,727,0
92,Mid Week Service || The  Rudiments Of Discipleship || Pst Bolaji Idowu || Feb 22nd 2023,2023-02-22T20:01:08Z,9645,247,0
93,Dealing With Relationship Exhaustion & Frustration (Sermon Only) || Pst Bolaji Idowu | Feb 19th 2023,2023-02-22T13:41:44Z,3333,134,0
94,Your Identity Is In The Name God Calls You | Pastor Bolaji Idowu,2023-02-22T11:56:33Z,1829,89,0
95,"Prayers For Victory, Growth And Success ||Pst Bolaji Idowu || Feb 22nd 2023",2023-02-22T07:24:45Z,24907,818,0
96,How My Relationship Backfired - Slice Ep 8 Sermon Discussions,2023-02-21T11:50:03Z,1014,28,0
97,Prayers for Divine support and Quantum Leaps || Pst Bolaji Idowu || Feb 21st 2023,2023-02-21T07:06:19Z,24379,803,0
98,Prayers For Back To Back Testimonies || Pst Bolaji Idowu || Feb 20th 2023,2023-02-20T07:07:04Z,26929,842,0
99,Rooted; Nurturing Strong Foundations (Sermon Only) || Pst Bolaji John || Feb 19th 2023,2023-02-19T14:40:16Z,1389,31,0
100,Dealing With Relationship Exhaustion & Frustration || Pst Bolaji Idowu | Feb 19th 2023,2023-02-19T14:04:00Z,13385,421,0
101,Rooted; Nurturing Strong Foundations || Pst Tola Odutola || Feb 19th 2023,2023-02-19T13:14:08Z,3766,100,0
102,Rooted; Nurturing Strong Foundations || Pst Bolaji John || Feb 19th 2023,2023-02-19T09:34:52Z,5541,140,0
103,Having Your Root Nurtured With Strong Foundations || Pst Soji Pitan || Feb 19th 2023,2023-02-19T08:03:13Z,8434,238,0
104,Prayers For Clarity And Directions || Pst Bolaji Idowu || Feb 17th 2023,2023-02-17T07:37:42Z,24145,652,0
105,Prayers For Gods remembrance Gudiance And Intervention || Pst Bolaji Idowu || Feb 16th 2023,2023-02-16T07:36:28Z,26385,735,0
106,MID-WEEK SERVICE || Pst Kanmi Elegbede || Feb 15th 2023,2023-02-15T19:45:16Z,6026,204,0
107,Prayers For Favour And Grace || Pst Bolaji Idowu || Feb 15th 2023,2023-02-15T07:35:24Z,21882,779,0
108,Prayers For Life Turnaround And Progress || Pst Bolaji Idowu || Feb 14th 2023,2023-02-14T07:09:37Z,27461,899,0
109,"Prayers For Prosperity, Help And Guidance || Pst Bolaji Idowu || Feb 13th 2023",2023-02-13T07:17:40Z,30602,813,0
110,Dealing With Relationship Exhaustion & Frustration || Pst Bolaji Idowu | Feb 12th 2023,2023-02-12T15:45:28Z,10190,289,0
111,Dealing With Relationship Exhaustion & Frustration (Sermon Only) || Pst Bolaji Idowu | Feb 12th 2023,2023-02-12T14:40:51Z,9703,338,0
112,"Dealing With Life, Assignment & Distraction (Sermon Only) || Pst Bolaji Idowu || Feb 12th 2023",2023-02-12T14:16:46Z,2955,103,0
113,"Dealing With Life, Assignment & Distraction || Pst Bolaji Idowu || Feb 12th 2023",2023-02-12T10:01:08Z,7731,178,0
114,Turning Point Service || Pst Bolaji Idowu || Feb 12th 2023,2023-02-12T08:34:54Z,12710,287,0
115,"Prayers for Progress, Divine Favour and Help || Pst Bolaji Idowu || Feb 10th 2023",2023-02-10T07:19:11Z,28065,943,0
116,How To Position To Hear From God | Pastor Bolaji Idowu,2023-02-09T16:55:25Z,2453,160,0
117,Prayers For Thanksgiving And Enforcing Of Prophecy || Pst Bolaji Idowu || Feb 9th 2023,2023-02-09T07:10:29Z,25786,702,0
118,MID-WEEK SERVICE: Doing Exploits  || Pst  Femi Ojo || 8th Feb 2023,2023-02-09T00:59:42Z,6353,205,0
119,Prayers For God's  Healing And   Answers To  Long Awaited Prayers || Pst Bolaji || 8th Feb 2023,2023-02-08T08:00:53Z,29437,845,0
120,"Prayers For Breaking Of Strong Holds, Carnal Desires  & Supernatural Recognisation || 7th Feb 2023",2023-02-07T07:20:11Z,30840,786,0
121,How to Have A Rich Bible Study & Prayer Time (Sermon Only) || Pst Bolaji Idowu || Feb 5th 2023,2023-02-06T08:07:01Z,3669,117,0
122,"Prayers For Favour, Promotions, Approvals & Divine  Upliftment || Pst Bolaji Idowu || 6th Feb 2023",2023-02-06T07:11:21Z,24730,878,0
123,How To Have A Rich Prayer And Bible Study Time (Sermon Only) 3rd Service || Pst Bolaji Idowu ||,2023-02-05T21:29:53Z,4081,136,0
124,Dealing With Relationship Exhaustion & Frustration (Sermon Only) || Pst Bolaji Idowu || Feb 5th 2023,2023-02-05T15:40:38Z,8217,303,0
125,Dealing With Relationship Exhaustion & Frustration || Pst Bolaji Idowu | Feb 5th 2023,2023-02-05T14:18:07Z,10396,337,0
126,How To Have A Rich Prayer And Bible Study Time || Pst Bolaji Idowu | Feb 5th 2023,2023-02-05T09:59:35Z,7959,228,0
127,Turning Point Service || Pst Bolaji Idowu | Feb 5th 2023,2023-02-05T08:16:11Z,11246,336,0
128,Tongues and Worship with Joshua Israel | Harvesters Exalted Tribe,2023-02-04T11:00:34Z,3591,181,0
129,"Prayers For Supernatural Advancement Of Family, Immigration & Business Projects || 3rd Feb 2023",2023-02-03T07:21:43Z,22980,868,0
130,Chants and Spiritual Worship At Winepress Day 4,2023-02-02T11:56:53Z,2882,147,0
131,"Prayers For Favour, Intervention And Upliftment || Pst Bolaji Idowu || 2nd Feb 2023",2023-02-02T07:06:50Z,26325,911,0
132,Prayers for divine settlement and establishment || Pst Bolaji Idowu || Feb 1st 2023,2023-02-01T07:17:52Z,28268,1041,0
133,Prayers for Business and Career Success || Pst Bolaji Idowu || Jan 31st 2023,2023-01-31T07:15:59Z,24092,770,0
134,"Prayers for wisdom, understanding and against losses || Pst Bolaji Idowu || Jan 30th 2023",2023-01-30T06:56:27Z,27214,762,0
135,WinePress: How To Receive A Breakthrough || Pst Bolaji Idowu || Jan 29th 2023,2023-01-29T20:03:25Z,11822,222,0
136,How To Break The Power Of Fear (Sermon Only) || Pst Bolaji Idowu || 27th January 2023,2023-01-29T17:04:48Z,4851,112,0
137,Positioning For Breakthrough (Sermon Only) || Pst Bolaji Idowu || 29th January 2023,2023-01-29T13:56:13Z,2187,67,0
138,3 Factors That Affect Clarity & Direction (Sermon Only) || Pst Bolaji Idowu || 29th January 2023,2023-01-29T13:17:10Z,2071,55,0
139,WinePress:Positioning For Breakthrough ||3rd Service || Pst Bolaji Idowu | Jan 29th,2023-01-29T12:16:20Z,9786,189,0
140,Using Your Belief As A Tool (Sermon Only) || Pst Deji Agboade || 27th January 2023,2023-01-29T11:41:43Z,487,15,0
141,Triumphant Worship with Pst Nathaniel Bassey,2023-01-29T11:01:15Z,1959,99,0
142,WinePress: How To Receive A Breakthrough (Cont of 2nd Service) || Pst Bolaji Idowu || Jan 29th 2023,2023-01-29T10:11:55Z,7700,200,0
143,WinePress: 3 Factors That Affects Clarity & Directions  (1st Service) Pst Bolaji Idowu Jan 29th 2023,2023-01-29T08:44:42Z,21452,575,0
144,WINEPRESS 2023 || NATHANIEL BASSEY & PST BOLAJI IDOWU ||  JAN 27TH,2023-01-27T20:55:34Z,117485,2896,0
145,Receiving From The Holy Spirit (Sermon Only) || Pst Clarie Terradez || 26th January 2023,2023-01-27T14:53:09Z,1469,46,0
146,Explosive Worship with Dunsin Oyekan,2023-01-27T08:59:40Z,14621,439,0
147,How To Receive Clarity & Direction For The Next Phase (Sermon Only) || Pst Bolaji || 26th Jan 2023,2023-01-27T08:51:08Z,4115,111,0
148,"Prayers For Promotions, Healing, Business And Approvals || Pst Bolaji Idowu || Jan 27th 2023",2023-01-27T07:22:23Z,29118,1098,0
149,How To Receive Clarity And Direction For The Next Phase || Pst Bolaji Idowu & Dunsin Oyekan,2023-01-26T20:40:52Z,106518,3098,0
150,Recognizing The Dealings & Patterns Of God In Our Lives (Sermon Only) || Pst Bolaji || 25th Jan 2023,2023-01-26T15:28:33Z,6486,116,0
151,How God wants you to Live on Earth (Sermon Only) || Pst Ashley Terradez || 25th January 2023,2023-01-26T14:53:25Z,1802,66,0
152,"Prayers For Healing, Restoration And Connection || Pst Bolaji Idowu || Jan 26th 2023",2023-01-26T07:19:01Z,28454,989,0
153,Recognising The Dealings & Patterns Of God In Our Lives | Pst Terradez & Pst Bolaji Idowu | Jan 25th,2023-01-25T20:06:58Z,94845,2456,0
154,"Prayers for provisions, supernatural help and healing || Pst Bolaji Idowu || 25th Jan 2023",2023-01-25T07:50:29Z,30469,1083,0
155,"Prayers For Release of Creative Ideas, Directions And Global Recognition || 24th Jan 2023",2023-01-24T07:24:35Z,27085,999,0
156,"Prayers for progress, ease and supernatural help || Pst Bolaji Idowu || 23rd Jan 2023",2023-01-23T07:29:38Z,30802,991,0
157,Becoming Spirit Dependent (Sermon Only) || Pst Bolaji Idowu || 22nd Jan 2023,2023-01-22T19:45:22Z,10367,141,0
158,Becoming Spirit Dependent || Pst Bolaji Idowu || 22nd Jan 2023,2023-01-22T09:58:50Z,8973,236,0
